Program_Variant,Worker,CPU_Percent,Disk_Read_KB_s,Disk_Write_KB_s,Real_Time
MT25017_Part_A_Program_A_2,cpu,115,1.39312,563.462,8.52s
MT25017_Part_A_Program_A_2,mem,3,1.14281,554.098,1.23s
MT25017_Part_A_Program_A_2,io,0.00,1.1425,7902.22,13.026890728s
MT25017_Part_A_Program_A_3,cpu,0.00,3.89187,552.353,15.025802943s
MT25017_Part_A_Program_A_3,mem,6,1.14156,554.397,4.27s
MT25017_Part_A_Program_A_3,io,0.00,1.14094,6173.88,13.079137561s
MT25017_Part_A_Program_A_4,cpu,0.00,1.14031,553.591,15.042670704s
MT25017_Part_A_Program_A_4,mem,5,1.13969,562.546,1.34s
MT25017_Part_A_Program_A_4,io,0.00,1.38688,8844.19,13.052933720s
MT25017_Part_A_Program_A_5,cpu,0.00,1.13875,551.426,15.062254247s
MT25017_Part_A_Program_A_5,mem,5,1.13813,566.235,1.60s
MT25017_Part_A_Program_A_5,io,0.00,1.13781,9704.18,15.105314786s
MT25017_Part_A_Program_B_2,cpu,185,1.13719,555.514,10.16s
MT25017_Part_A_Program_B_2,mem,0.00,1.26281,687.178,.423151973s
MT25017_Part_A_Program_B_2,io,0.00,1.26,6322.23,15.257048371s
MT25017_Part_A_Program_B_3,cpu,0.00,1.13594,556.207,13.222436288s
MT25017_Part_A_Program_B_3,mem,0.00,1.13531,550.083,5.905490541s
MT25017_Part_A_Program_B_3,io,0.00,3.09219,3535.8,15.494002846s
MT25017_Part_A_Program_B_4,cpu,0.00,1.13406,552.34,13.207701313s
MT25017_Part_A_Program_B_4,mem,0.00,1.13344,556.869,4.824582649s
MT25017_Part_A_Program_B_4,io,0.00,1.13312,6756.46,13.143023938s
MT25017_Part_A_Program_B_5,cpu,0.00,1.13281,552.349,15.207629118s
MT25017_Part_A_Program_B_5,mem,0.00,1.13219,554.918,10.154303658s
MT25017_Part_A_Program_B_5,io,0.00,1.25531,6864.86,13.193113795s
MT25017_Part_A_Program_B_6,cpu,0.00,1.13094,550.39,15.149402589s
MT25017_Part_A_Program_B_6,mem,0.00,1.13031,564.387,3.829840544s
MT25017_Part_A_Program_B_6,io,0.00,1.25125,9563,15.300840067s
MT25017_Part_A_Program_B_7,cpu,0.00,1.12906,549.832,13.291073567s
MT25017_Part_A_Program_B_7,mem,0.00,1.12844,551.62,6.923426090s
MT25017_Part_A_Program_B_7,io,0.00,1.12813,7523.86,15.142200130s
MT25017_Part_A_Program_B_8,cpu,0.00,1.12719,550.067,13.055497401s
MT25017_Part_A_Program_B_8,mem,0.00,1.12687,548.755,8.143157989s
MT25017_Part_A_Program_B_8,io,0.00,1.12656,7655.09,13.075738001s
